2025-11-20 18:41:15,LOGIN_ATTEMPT_PENDING,rep1@tech.com,User tried to log in while pending
2025-11-20 18:41:40,LOGIN_UNKNOWN,admin,User ID not found
2025-11-20 18:51:26,LOGIN_UNKNOWN,,User ID not found
2025-11-20 18:51:28,LOGIN_UNKNOWN,,User ID not found
2025-11-20 18:51:29,LOGIN_UNKNOWN,,User ID not found
2025-11-20 18:51:40,LOGIN_UNKNOWN,,User ID not found
2025-11-20 18:55:02,LOGIN_UNKNOWN,stuff,User ID not found
2025-11-20 19:12:39,LOGIN_ATTEMPT_PENDING,rep1,User tried to log in while pending
2025-11-20 19:21:41,LOGIN_UNKNOWN,stuff,User ID not found
2025-11-20 19:25:44,LOGIN_UNKNOWN,123,User ID not found
2025-11-20 19:30:25,LOGIN_UNKNOWN,rep1,User ID not found
2025-11-20 19:30:43,LOGIN_UNKNOWN,rep1,User ID not found
2025-11-20 21:13:06,LOGIN_UNKNOWN,2,User ID not found
